,worker_id,age,sex,task_idx,task_name,accuracy,confidence_min,confidence_max,confidence_average,rt_avg,task_description
77,9,33,Male,55,task_pos_contact,0.8,0,99,64.95,4270.7,the location of the connection of the shapes
78,10,24,Female,3,task_color,1.0,99,100,99.95,817.85,The colors are different.
79,10,24,Female,5,task_flip,0.9,67,100,93.9,1828.45,"The colors are the same, but one shape is slightly different. "
80,10,24,Female,53,task_pos_col_1,0.3,12,92,53.25,6948.0,I was unable to determine the rule. 
81,10,24,Female,94,task_flip_color_1,0.05,16,55,32.35,4393.9,The shapes were oriented at a different location . 
82,10,24,Female,96,task_rot_flip_1,0.7,21,94,57.85,5364.85,Chose the pair of shapes that arent symmetrical. 
83,10,24,Female,60,task_size_contact,0.7,32,74,55.5,5035.9,Pick the group that has a pair to be out of proportion. 
84,11,31,Female,6,task_count,1.0,91,100,99.55,1990.3,The boxes all have the same number of shapes in them. The odd one out has a different number of shapes than the other 3.
85,11,31,Female,8,task_contact,0.95,68,100,98.2,1695.8,The shapes needed to be touching each other. The odd one out had shapes that were not touching.
86,11,31,Female,80,task_contact_count_1,1.0,90,100,97.45,9068.5,"The boxes had to have the same grouping of shapes. For example, if there were 3 boxes that had 2 groups of three and 1 group of two, and another box with 1 group of three and 2 groups of two, that last box would be the odd one because it didn't have the same number of groups with the same number of shapes in the group"
87,11,31,Female,61,task_size_count_1,0.9,46,100,87.6,10962.8,"The squares had to have the same number of shapes of the same sizes. For example, if 3 squares had 2 large shapes and 1 small shape in them, and the 4th square had 1 large shape and 2 small shapes, the 4th square would be the odd one out"
88,11,31,Female,66,task_shape_inside,0.95,57,100,94.6,3447.8,The outer shape needed to be the same
89,11,31,Female,76,task_color_contact,1.0,58,100,91.55,10042.75,"I am having a hard time finding the words to describe this one. I understand the pattern but can't properly explain it (I am autistic and have difficulty getting thoughts from my brain into words). This is the best I can do: each square had 2 groups of shapes in it. The shapes in a group were either the same color, or two different colors. The rule was, if both shapes in one group in a square were the same color, and both shapes in the other group in a square were two different colors, then all the other squares needed to have that same pattern (the shapes in one group the same color, and the shapes in the other group 2 different colors). The colors did not matter though, the first square could have 2 blue shapes, 1 green shape, and one red shape, and the next square have 2 yellow shapes, one blue shape, and one red shape, and that would be fine. It just matters if the shapes within each group were either the same or different."
90,12,41,Male,3,task_color,1.0,94,100,99.5,1528.55,The odd man out is a different color than the other three
91,12,41,Male,7,task_inside,1.0,59,100,97.05,1702.6,"The odd man out has the small shape outside the big shape, the other three have the small shape inside the big shape"
92,12,41,Male,74,task_color_inside_1,1.0,59,100,95.3,4015.0,"The odd man's large shape is the same color as the other three's small shape, and its small shape is the color of their large shape."
93,12,41,Male,77,task_color_count_1,0.9,48,100,78.15,32213.15,The three same ones are split into groups of the same number of one color. The odd one will have a group with a different number. And I think maybe the three common ones have the same number of one color.
94,12,41,Male,99,task_pos_flip_1,0.95,62,100,94.15,6720.75,"The three like groups have all three of their shapes oriented the same way, the odd man out has at least one of its shapes oriented differently."
95,12,41,Male,59,task_size_inside_1,0.7,47,100,75.45,17899.3,"In the three common ones, the smallest shape is inside the larges. In the odd man out the smallest shape is inside the second-smallest shape."
102,13,29,Male,2,task_size,1.0,30,79,65.0,2431.95,disproportional object is always the odd one out.
103,13,29,Male,4,task_rot,0.9,22,78,61.5,9364.5,One shape/choice is unlike the others.
104,13,29,Male,58,task_size_rot_2,0.4,24,79,54.15,42145.0,One of the trio is disproportionately sized compared to the other choices.
105,13,29,Male,82,task_size_color_1,0.6,22,72,33.4,31623.25,Positioning is the main factor for this block.
106,13,29,Male,91,task_flip_count_1,0.7,22,72,44.65,36565.55,One extra or one less is included in the bunch.
107,13,29,Male,88,task_rot_contact_1,0.3,24,46,35.45,22053.75,Many of my choices were incorrect for this particular trial. That I feel I am unqualified to prescribe a rule.
108,14,20,Female,7,task_inside,1.0,81,100,97.85,1308.65,"The odd one out is when one of the shapes was not inside the other one, rather they were separate shapes that did not intersect or surround another"
109,14,20,Female,3,task_color,1.0,87,100,99.35,840.3,The outlier was the one shape that was a different color compared to the other 3.
110,14,20,Female,99,task_pos_flip_1,0.95,87,100,96.2,4476.3,"The outlier was the image where the shapes were configurated differently than the others, usually rotated a different direction on the x or y axis"
111,14,20,Female,59,task_size_inside_1,0.95,51,100,84.4,3576.95,"The outlier was when the largest shape was  not surrounding the smallest shape, but was separated."
112,14,20,Female,74,task_color_inside_1,0.95,64,100,97.8,1542.8,The outlier is the image which had the inverse shape colors compared to the other 3
113,14,20,Female,77,task_color_count_1,0.75,23,95,63.6,6787.8,The outlier had a differnt ratio of certain colors than the other images
120,15,49,Female,0,task_shape,1.0,99,100,99.95,2760.75,All the objects were the same shape except one in each trial.
121,15,49,Female,3,task_color,1.0,99,100,99.95,1637.85,All the objects in each trial were the same color except the odd one.
122,15,49,Female,63,task_shape_color,0.7,0,100,70.05,28564.0,"The color patterns for the objects in each trial were the same, but switched in the odd set."
123,15,49,Female,56,task_size_shape_1,0.85,49,100,96.85,17891.5,"The like objects in each group were the same size except, but in the odd group, the size of the similar objects were different. "
124,15,49,Female,17,task_inside_count_1,0.9,0,100,91.65,16784.25,"The objects in each set had the same number of objects inside them, except the odd set"
125,15,49,Female,51,task_pos_rot_1,1.0,97,100,99.5,4825.6,The pattern of the objects in each set was the same except in the odd one.
132,16,27,Female,3,task_color,1.0,100,100,100.0,1831.3,Its a different color than the rest
133,16,27,Female,0,task_shape,1.0,100,100,100.0,2395.65,it was a different shape than the rest
134,16,27,Female,17,task_inside_count_1,0.85,35,100,93.8,14668.4,the odd on out had a different number of shapes with a shape inside of it
135,16,27,Female,51,task_pos_rot_1,1.0,58,100,97.05,5115.85,the shapes are rotated differently in the odd one out
136,16,27,Female,63,task_shape_color,1.0,100,100,100.0,3493.45,the colors of the shapes are swapped in the odd one out
137,16,27,Female,56,task_size_shape_1,0.8,31,100,88.9,21472.1,"the matching shapes were either all the same size or different sizes; so if the three uniform ones all had each shape the same size as their respective pair, the odd one out had a different size to their respected pair and vice versa. "
138,17,35,Male,7,task_inside,1.0,87,95,91.05,2373.1,"The shapes all contain another shape inside, except the outlier."
139,17,35,Male,3,task_color,1.0,72,96,90.6,1218.4,The outlier shape was in a different color than the others.
140,17,35,Male,59,task_size_inside_1,1.0,52,94,86.4,3448.7,"The outlier contained a shape (without something inside) that was bigger than the other shape, all other images did not."
141,17,35,Male,99,task_pos_flip_1,0.25,40,58,49.8,8564.0,I think the rule was the shape was flipped as a mirror image and then flipped upside down.
142,17,35,Male,77,task_color_count_1,0.9,40,78,59.45,16742.4,The outlier image had an extra number of one color of shape.
143,17,35,Male,74,task_color_inside_1,0.95,47,93,82.65,2503.8,The outlier image had an inner shape that was different than the other three.
150,18,49,Male,1,task_pos,0.95,6,100,94.05,2584.95,Same position in the box
151,18,49,Male,0,task_shape,1.0,97,100,99.05,2584.35,Same shape
152,18,49,Male,70,task_rot_color,0.95,33,100,85.55,10021.4,same shapes are same color
153,18,49,Male,47,task_pos_size_1,0.75,52,99,85.75,7176.7,small shapes lower same direction in box
154,18,49,Male,49,task_pos_shape_1,0.8,44,99,83.5,6049.9,same shape in same side of box
155,18,49,Male,20,task_shape_contact_2,0.85,55,99,90.9,5402.3,same shapes grouped together
156,19,37,Female,1,task_pos,1.0,66,100,90.2,3567.2,the positioning of where the image is within the square. 
157,19,37,Female,0,task_shape,0.95,55,100,97.25,3774.5,The shape of the images.
158,19,37,Female,47,task_pos_size_1,0.3,45,64,54.65,12340.85,It's something about the shapes being similar although different sizes. 
159,19,37,Female,70,task_rot_color,0.85,49,100,87.1,17109.9,The different colored shapes have to be the same shape as each other. 
160,19,37,Female,20,task_shape_contact_2,0.4,48,80,60.3,11783.45,Same or similar features and spacing between them.
161,19,37,Female,49,task_pos_shape_1,0.25,50,92,65.65,8974.05,Either a different shape or a more pixilated image. 
162,20,22,Female,3,task_color,1.0,98,100,99.85,1160.9,the color
163,20,22,Female,7,task_inside,1.0,98,100,99.7,1614.0,the circle out side the shape 
164,20,22,Female,77,task_color_count_1,0.65,2,80,27.05,6269.75,different number of colored shapes
165,20,22,Female,74,task_color_inside_1,0.95,31,99,83.45,2456.0,different colored outside ring
166,20,22,Female,59,task_size_inside_1,1.0,25,100,92.1,2550.1,the circle was in the smaller of the two shapes
167,20,22,Female,99,task_pos_flip_1,0.9,18,99,84.0,4668.05,the shapes were facing a different way
